row,session,scenario,frame,bucket,command,geometry,PREFIX,first_interval_GT_progress_mps,GT_max_abs_segment_heading_deg,lateral_weighted_abs,longitudinal_weighted_abs,endpoint_L2,endpoint_lateral_signed,endpoint_longitudinal_signed
14730,session_019_20260113-102709,20260113-102709,30,nonstop,LANE_KEEP,near_straight_lt5deg,0.2933309942438244,6.8502285074155465,1.1004030836931442,0.1346119600243283,0.2453721589866778,0.6121234107046437,0.5590955635864322,0.24921320332329025
14735,session_019_20260113-102709,20260113-102709,35,nonstop,LANE_KEEP,near_straight_lt5deg,0.06136531825282096,7.294339286600316,0.9281802409249545,0.02044772147400476,0.05514343147252755,0.37965412128864184,0.03263518308946116,-0.3782488554327271
14740,session_019_20260113-102709,20260113-102709,40,nonstop,LANE_KEEP,near_straight_lt5deg,0.07239048451004607,7.680649861434736,1.145351178531039,0.05014218913711105,0.05042752143569982,0.2480362301872253,-0.12332268980528228,-0.2152056822313954
14745,session_019_20260113-102709,20260113-102709,45,nonstop,LANE_KEEP,near_straight_lt5deg,0.187499790256004,8.03402724833868,1.1612375808668887,0.021290041221067802,0.18555252648205037,0.7340343056570552,-0.039867201387326426,-0.7329508633837452
14750,session_019_20260113-102709,20260113-102709,50,nonstop,LANE_KEEP,near_straight_lt5deg,0.2590727741767383,8.431889386664178,1.307158861606553,0.043953889656169996,0.25517354954981186,0.6682509986537853,-0.1515909648555495,-0.6508299137070646
14755,session_019_20260113-102709,20260113-102709,55,nonstop,LANE_KEEP,near_straight_lt5deg,0.2492177169304642,8.767871397836599,1.4658429204230485,0.041984501412624026,0.2448606868390216,0.18264210973558587,-0.08831593820234258,-0.15987005757209757
14760,session_019_20260113-102709,20260113-102709,60,nonstop,LANE_KEEP,near_straight_lt5deg,0.23106872304036846,9.165706747885457,1.6507132128784703,0.013385072194003877,0.2285173355814841,0.0969461447177379,0.07862976032671339,-0.05670904483939213
14765,session_019_20260113-102709,20260113-102709,65,nonstop,LANE_KEEP,near_straight_lt5deg,0.1561628095870025,9.37344047610385,1.7590778494399038,0.026008693209380887,0.1522418736062624,0.9306211186571723,0.10674924212256001,0.9244783749753078
14770,session_019_20260113-102709,20260113-102709,70,nonstop,LANE_KEEP,near_straight_lt5deg,0.1765918292355112,9.414215252959993,1.8368300102451314,0.06435115718924328,0.1554972758166392,1.033412016790365,0.1730157618168215,1.0188257665615228
14775,session_019_20260113-102709,20260113-102709,75,nonstop,LANE_KEEP,near_straight_lt5deg,0.2250241837522033,9.185715898872267,1.6068735191497543,0.02445469074239464,0.22362207025711678,1.149762181782545,-0.12933017079064482,1.1424652211689514
14780,session_019_20260113-102709,20260113-102709,80,nonstop,LANE_KEEP,near_straight_lt5deg,0.13128256183547718,9.073129052758501,1.366965028532128,0.07522433814573352,0.09263399286663578,0.5198432699962846,-0.33537021575262405,0.397194969437515
14785,session_019_20260113-102709,20260113-102709,85,nonstop,LANE_KEEP,near_straight_lt5deg,0.24098308931203927,8.93174434322929,1.275537652160602,0.09088154885364125,0.20897449219616784,1.1340291511378746,-0.30992751160501036,1.0908561102092313
14790,session_019_20260113-102709,20260113-102709,90,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.3211557794200564,8.637951162906447,1.3063624779085359,0.0701911459256518,0.3087248799640501,1.0824594301703636,-0.31096405961240325,1.0368316023318935
14795,session_019_20260113-102709,20260113-102709,95,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.32139487223224383,8.35212217806606,2.1487998887219018,0.06470615075247277,0.3085229071787392,0.7382324886869432,-0.45083727218442904,0.5845793028856058
14800,session_019_20260113-102709,20260113-102709,100,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.22800101596059336,8.143006526360981,3.2285629698428893,0.13648165681111774,0.1536382015261274,0.7812122247983713,-0.7778004340870098,0.07293164545298494
14805,session_019_20260113-102709,20260113-102709,105,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.2634705837176544,7.973546124496202,3.2606309028447895,0.15366406351603898,0.16967073559535104,0.8272762251027284,-0.787446018496998,-0.25360347113840076
14810,session_019_20260113-102709,20260113-102709,110,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.2871090910671862,8.026696974042167,2.6428052941483235,0.27289028259726267,0.07559989906011896,1.2052147116033647,-1.0842569266515387,-0.5262408365694755
14815,session_019_20260113-102709,20260113-102709,115,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.23949910075216246,8.172189335912467,1.7220436362755356,0.21940434331596398,0.08628601656473874,0.6819487387434706,-0.6788915662692777,-0.06450056993746012
14820,session_019_20260113-102709,20260113-102709,120,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.09148802996325829,8.384152113074595,0.8816013859977453,0.05393411598149418,0.07275071556124242,0.015206710385254818,-0.005951526571590102,0.013993690442791482
14825,session_019_20260113-102709,20260113-102709,125,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.1688070908009948,8.653138171621688,2.588925009976001,0.03064582831790738,0.16204523420752937,0.2160315414913187,0.01975117062620957,0.21512674909924548
14830,session_019_20260113-102709,20260113-102709,130,nonstop,LANE_CHANGE_L,near_straight_lt5deg,0.2197114323922471,8.959458029343018,4.341331676813279,0.07078234311359421,0.20339513078798535,0.25333596615225923,-0.17791846944388154,0.18034447587061056
14835,session_019_20260113-102709,20260113-102709,135,nonstop,LANE_CHANGE_L,gentle_bend_5to15deg,0.18096315008878244,9.28452191989404,5.521737990399557,0.03833868840969153,0.17517598405040025,0.06578213869225615,0.01246477287587385,-0.06459039563340747
14840,session_019_20260113-102709,20260113-102709,140,nonstop,LANE_CHANGE_L,gentle_bend_5to15deg,0.09460485809590652,9.71495615969432,5.9507023277864945,0.03490128551384132,0.08637151556380354,0.2903467201849056,0.09258795602812557,-0.27518845964296135
14845,session_019_20260113-102709,20260113-102709,145,nonstop,LANE_CHANGE_L,gentle_bend_5to15deg,0.2736563410073114,10.061894270697909,5.799997041325677,0.178645322419201,0.18191442478508277,0.7035431685854237,0.7000731818225334,0.06978918366116606
14850,session_019_20260113-102709,20260113-102709,150,nonstop,LANE_CHANGE_L,gentle_bend_5to15deg,0.1661570184135598,10.503546245619525,5.244248888347443,0.15158491923208028,0.06053493430280521,0.615237398038221,0.49920234286954385,-0.3596026651992428
