run,PREFIX,L2_1s,L2_2s,L2_3s,nonstop_PREFIX
BASE,0.16551064587503816,0.09674669730702547,0.16469637305158608,0.235088867266503,0.16959081269336226
A2-COMMAND-NOM,0.16488429144189876,0.09650101802017573,0.16418292871287524,0.2339689275926452,0.16926885257398439
QREFINE,0.16425176679687356,0.09604649863001233,0.1636846045296696,0.23302419723093878,0.16844511321878103
