run,step,train_probe_PREFIX,PREFIX,L2_1s,L2_2s,L2_3s,first2s_PREFIX_contribution,nonstop_PREFIX,occupancy_IoU,lane_IoU,RTX4090_ms
PARENT,20554,0.08870333254291016,0.16425176679687356,0.09604649863001233,0.1636846045296696,0.23302419723093878,0.12295139094870944,0.16844511321878103,0.4581157963705792,0.4791924209581673,
BASE,20554,0.08945488544370195,0.16551064587503816,0.09674669730702547,0.16469637305158608,0.235088867266503,0.12374688413100077,0.16959081269336226,0.457733541149349,0.47830436964985823,
A2-G0,3426,0.08780663015798326,0.1650840651964101,0.0963413054460424,0.1643324446471303,0.2345784454960577,0.12340957106375317,0.16871951376274416,0.4589848391236158,0.4804432373561735,
A2-G1,3426,0.08729304478252542,0.16474080158049537,0.0962053886366569,0.16405817262114436,0.23395884348368481,0.12321189211285473,0.16837224069179071,0.45807894057958554,0.47848142230590623,
A2-LEARNED-SAMPLE,20554,0.08963410890637302,0.16466722322100316,0.09641009416943723,0.16397344491435123,0.23361813057922098,0.12323305634222977,0.16942700861971818,0.4591282555311738,0.47922505247631475,
