batch,group,norm_prefix,norm_main,norm_aux,cos_main_aux,cos_prefix_aux,aux_main_norm_ratio,dot_main_total
0,backbone_fpn,7.078406984376362,7.300413432465193,3.9929528511237473,-0.09125407108712398,-0.10223279145369617,0.5469488663980243,50.635961256941464
0,scene_shared,3.4538898316529547,3.656833355389706,0.16909231623653617,0.05320586400388514,0.05359542962844792,0.046240093491631405,13.405329631911687
0,status_query,1.4318485683170874,1.4801511890119463,0.005776627786447553,0.7027949263206638,0.7052540490309792,0.0039027282005587942,2.1968566374836622
1,backbone_fpn,8.41701701582944,8.882628349953723,10.231094993379381,0.7086896837564636,0.7123184792859538,1.1518094183725116,143.3061064064608
1,scene_shared,5.287994284898896,6.176330651481512,0.16533637586989103,0.0448010285898933,0.04143244217725275,0.026769353067299256,38.192809878046205
1,status_query,2.388129132410045,2.928597385546223,0.00848602160009088,0.8922992205469149,0.8819655270893151,0.002897640229405628,8.598858192378465
2,backbone_fpn,7.65655980917954,8.216824405675005,11.704051412009974,-0.5940454480311016,-0.5913199254697736,1.4244008188767538,10.386772209634543
2,scene_shared,5.332000117448594,5.407072807602161,0.1783011206195888,-0.035221653794236245,-0.032708898305549704,0.03297553537080238,29.202479603207614
2,status_query,1.8384727573783097,1.6668497485976561,0.006991236416636406,-0.6041259525032053,-0.6083323129145818,0.004194281111730815,2.7713479988719136
3,backbone_fpn,4.108053141385535,4.326546833514885,4.020445714086268,-0.2085800197643368,-0.22001892376640161,0.9292504782203084,15.090831755624864
3,scene_shared,3.891006992410983,4.5337645943015055,0.22734294298804048,-0.09973525863541388,-0.08758234307885816,0.05014440830778645,20.452222332030217
3,status_query,1.4102873504432567,1.755542593887536,0.016704678744432523,-0.8200576530815542,-0.8114790078532794,0.009515393589762519,3.057880972688569
4,backbone_fpn,5.03532594269229,5.200087002107169,4.659365315375963,-0.06639092486946695,-0.051456997797048376,0.8960168000050585,25.43231213880814
4,scene_shared,2.9460476264548556,3.022086263072865,0.2681135592907981,-0.03954926255153281,-0.03568521600714736,0.08871803646603375,9.100960104838371
4,status_query,1.0001372342093258,1.0732703639466978,0.014529604045918713,-0.8944212423501059,-0.8596927968742499,0.01353769239699262,1.1379614962719982
5,backbone_fpn,6.55368843721902,6.987260322781224,9.145508130023966,-0.4701580148615905,-0.42479992154871854,1.3088832686261886,18.77774768370764
5,scene_shared,7.985127840842797,8.73017456689497,0.1518203272812595,0.07762317182577273,0.07861061070140038,0.01739029685121828,76.31883111450738
5,status_query,3.5320690502751897,3.9422701681057144,0.006429490684697559,0.567668196240326,0.5746958435582945,0.0016309107216228586,15.555882644511387
6,backbone_fpn,9.079531542324222,9.525438760334895,6.596751867467582,-0.13709858722828416,-0.14767413884990171,0.6925404732994843,82.1191256930672
6,scene_shared,7.0787907902492355,7.486399995611698,0.1706562498113853,0.05459283486909671,0.05754733620479546,0.022795502499388068,56.11593275186882
6,status_query,2.337413440765712,2.405243558783755,0.009719810174543347,0.8936744229321624,0.901540967613352,0.004041091863253261,5.80608935423228
7,backbone_fpn,7.56093281201212,8.244276762496346,4.938877354165347,-0.08447532804059182,-0.09684168204429731,0.5990673889834173,64.52847754903065
7,scene_shared,7.534400510032943,8.377814544221406,0.23116495964135447,-0.024894760519318583,-0.022753639967244627,0.027592513348340994,70.13956392113668
7,status_query,3.507108653244156,3.967132412369449,0.011094907982696701,-0.9051716740726352,-0.9049023457753997,0.0027967072508351303,15.698298474034523
8,backbone_fpn,5.676626258991317,6.034487888568096,4.752566061457518,-0.17854745282588058,-0.1810663396241139,0.7875674206689375,31.294427696093734
8,scene_shared,5.133924281901594,5.646665988023582,0.16275872125450605,-0.10660262225369951,-0.10678798930213741,0.028823862009850182,31.786864265484535
8,status_query,2.1723973732754907,2.3889396781278807,0.012646560201714065,-0.9014539124706497,-0.9016520306014275,0.0052937963722988115,5.679798177808038
9,backbone_fpn,5.462263756090751,5.623396043785117,5.939448160957514,-0.4036452344145645,-0.4351438150927926,1.0562030692328155,18.140884996039965
9,scene_shared,2.613958528026747,3.214156197777083,0.16045965721690672,-0.0029903457704103767,-0.006225214204229381,0.04992279383555813,10.32925781559918
9,status_query,1.098249684126998,1.3750039833269116,0.003842432676639984,0.5231820313374237,0.5191565871773528,0.002794488396566654,1.8934001133054554
10,backbone_fpn,6.03674192725134,6.516931577973558,4.492646937228807,-0.28220772735817123,-0.26659901453850704,0.6893807129130235,34.20784239406706
10,scene_shared,7.086327480092114,7.827024325357171,0.18480906397279678,0.03171392204895844,0.027797268734084328,0.023611663422850468,61.30818413779145
10,status_query,2.8438045214223298,3.2038814653178402,0.013051186125768504,0.9534929282395113,0.9535649059679054,0.004073554614004349,10.304726229354369
11,backbone_fpn,5.957876359037502,6.335617190866656,7.366773871077156,0.31697912093642155,0.2941149238483507,1.1627555215452414,54.934430459122225
11,scene_shared,4.500150789497164,5.179587333720497,0.14567345196715634,8.407287976887799e-05,0.0009306168822709459,0.028124528573692204,26.828188383010463
11,status_query,1.888953653043398,2.2605165120924933,0.006154729689729821,0.33821978755440446,0.32440066525111,0.002722709459013228,5.1146405087328555
12,backbone_fpn,6.292032541669255,6.758912308537761,13.283427894383578,0.4315920339026269,0.3876753127151667,1.9653203486016741,84.43188627182718
12,scene_shared,4.155623913150198,4.278771465766746,0.21247681242389774,0.021142701258069305,0.02917930339751875,0.049658369025750805,18.327106925806685
12,status_query,1.5040705653411197,1.251304342204364,0.006990959432142875,0.5276083910899615,0.5440610572982093,0.005586937722782318,1.570377978943894
13,backbone_fpn,4.561547843981679,4.800778908016032,6.929814457791315,0.444669973520831,0.4496705608213143,1.443477108729243,37.84098428840694
13,scene_shared,3.865280900522663,3.9174179173266954,0.23174530799966592,0.0020765732659693134,-0.0017036706071565867,0.059157667854292245,15.348048341956336
13,status_query,1.7656860212001102,1.7755614924531269,0.003642290963206896,0.434039596671757,0.44220861141187573,0.0020513459988224254,3.1554255959835737
