step,arm,PREFIX,delta_control,delta_parent,L2_1s,L2_2s,L2_3s,nonstop,depart,steady
0,C-CTRL,0.14459766188205064,0.0,0.0,0.08074669328170829,0.1374670674851344,0.2155792248793092,0.14762172825384745,0.3735697491961207,0.03181529276430602
0,C-R101,0.14459766188205064,0.0,0.0,0.08074669328170829,0.1374670674851344,0.2155792248793092,0.14762172825384745,0.3735697491961207,0.03181529276430602
0,C-DECSPLIT,0.14459766188205064,0.0,0.0,0.08074669328170829,0.1374670674851344,0.2155792248793092,0.14762172825384745,0.3735697491961207,0.03181529276430602
0,C-AGENT,0.14459766188205064,0.0,0.0,0.08074669328170829,0.1374670674851344,0.2155792248793092,0.14762172825384745,0.3735697491961207,0.03181529276430602
3426,C-CTRL,0.1458914695737156,0.0,0.0012938076916649563,0.08350673508049898,0.13888944173866624,0.21527823190198156,0.1493162951926103,0.36837702401945793,0.02709145601689357
3426,C-R101,0.14439470440961982,-0.0014967651640957521,-0.00020295747243079617,0.08182320852090406,0.13733595469460277,0.21402495001335264,0.1484399385243151,0.34204570703780807,0.019865027357800557
3426,C-DECSPLIT,0.14775021068881844,0.0018587411151028603,0.0031525488067678173,0.0833336296186108,0.14046090971013037,0.2194560927377142,0.14891675624325865,0.43928648800490694,0.05498108371749037
3426,C-AGENT,0.14874830311114418,0.002856833537428545,0.004150641229093501,0.08538845136951739,0.14174565379448403,0.21911080416943096,0.15345334669797503,0.3202934617738859,0.018050923987773356
6852,C-CTRL,0.14364330509623913,0.0,-0.0009543567858114955,0.08034479965533105,0.13668521712387852,0.21389989850950783,0.1474477579170865,0.35274478392081193,0.020898006804537055
6852,C-R101,0.14629480219991023,0.0026514971036711117,0.0016971403178596162,0.0821929004352373,0.13944145722699666,0.21725004893749678,0.15018435018438817,0.3539146414399141,0.022297038435706525
6852,C-DECSPLIT,0.14844717503683763,0.004803869940598482,0.0038495131547869855,0.08499640020632904,0.1414118336331903,0.21893329127099354,0.15219519744433588,0.3672182170238127,0.02442649804949801
6852,C-AGENT,0.1429395003329356,-0.000703804763303557,-0.0016581615491150525,0.07957667240251597,0.13588888859763487,0.21335293999865595,0.14654409641768293,0.35972157777921304,0.022117404195441823
10277,C-CTRL,0.14322213392322708,0.0,-0.0013755279588235786,0.07987237008891786,0.13658057489726694,0.21321345678349635,0.14629482995174795,0.3758133164648421,0.028641392160848964
10277,C-R101,0.14318158935093775,-4.054457228928198e-05,-0.0014160725311128607,0.07991146724791753,0.1365656411773067,0.21306765962758908,0.14614127740966049,0.37564209431064155,0.030772829460655408
10277,C-DECSPLIT,0.14295251850672389,-0.00026961541650315343,-0.001645143375326732,0.07978737316302514,0.13633831655913997,0.2127318657980066,0.1459726686996957,0.3754501392310124,0.029389644676370417
10277,C-AGENT,0.1438336043272194,0.0006114704039923265,-0.0007640575548312522,0.08004434322761135,0.13717420262376054,0.21428226713028622,0.14663016778812257,0.3880020741432957,0.03167603094560969
