regime,rows,row_share,sessions,mean_d3_m,share_of_total_d3,l2_t0.5_m,l2_t1_m,l2_t1.5_m,l2_t2_m,l2_t2.5_m,l2_t3_m,chord_error_mean_m,chord_abs_error_mean_m,heading_error_mean_deg
stop_hold,116,0.05805805805805806,7,0.4309301773846028,0.11090384808979965,0.16757748499151098,0.3504962309835946,0.4994028240198507,0.7028498042814413,0.8703314496736584,1.0313747346328812,1.0336003817682307,1.0555228951112232,18.67390876621483
departing,31,0.015515515515515516,6,0.5073934122415554,0.034897011460392945,0.2231875892310201,0.4455362381167397,0.634494395713348,0.8476909566451165,0.8956094612222657,0.8540275278168913,0.6482624896432544,1.210676543877812,4.472933465724858
constant,1402,0.7017017017017017,11,0.1996339281722587,0.6209606557717614,0.07801776654844836,0.15655713350631117,0.24213176162554997,0.32388380598362243,0.40421597965630623,0.48399385812024254,-0.02480283434191115,0.45955056838473407,0.5041929580945559
decelerating,241,0.12062062062062062,7,0.20854288528499923,0.1115049477361523,0.07649009516441363,0.15953146211379157,0.25070254755698734,0.346604889366797,0.4409352998630835,0.5214494779273128,0.15745174111997615,0.5897428137348889,1.1974795003598457
accelerating,208,0.1041041041041041,10,0.26379416660598004,0.12173353694189372,0.09277462000723576,0.18839904369785018,0.30587463137380827,0.4372204661557043,0.5806461399126435,0.7634559647932426,-0.22257629156464984,0.655067665263423,1.0333022004762291
