t_s,segment_index,gt_chord_mean_m,pred_chord_mean_m,chord_error_mean_m,chord_abs_error_mean_m,chord_abs_error_p95_m,vbar_gt_mean_ms,vbar_error_mean_ms,vbar_abs_error_mean_ms,direction_defined_fraction,along_abs_mean_m,cross_abs_mean_m,heading_error_mean_deg,heading_error_p95_deg
0.5,0,5.266574759594953,5.276036190867696,0.009461431272743596,0.08339316505221699,0.23638006015713833,10.533149519189905,0.018922862545487192,0.16678633010443397,0.9424424424424425,0.07733830545536441,0.013542067488005908,0.2772713409546913,0.6735026471693762
1.0,1,5.26802252728458,5.2783330462160425,0.010310518931463881,0.08674768574030901,0.2619597990233183,10.53604505456916,0.020621037862927762,0.17349537148061803,0.9429429429429429,0.0799212308116991,0.025346185098150738,0.4298408432907999,0.9954583592476165
1.5,2,5.269569160247814,5.277700847570561,0.008131687322747168,0.08911265687269204,0.2544554176410848,10.539138320495628,0.016263374645494336,0.17822531374538408,0.9429429429429429,0.08498674839362634,0.039137432640355595,0.6329494550408473,1.7350721226859387
2.0,3,5.271090347775781,5.2873073662699746,0.016217018494194615,0.09008511998794382,0.2903334094101192,10.542180695551561,0.03243403698838923,0.18017023997588763,0.9429429429429429,0.08364728200235268,0.05060487311462646,0.887555779270443,2.113868439117002
2.5,4,5.272828198974579,5.284687624806752,0.011859425832172274,0.08830607043724582,0.2552945491113216,10.545656397949157,0.023718851664344547,0.17661214087449165,0.9429429429429429,0.08459337252531778,0.06398224302229788,1.1217155496570983,3.0716031466473765
3.0,5,5.274718061470391,5.26722156754558,-0.007496493924811376,0.10421897460899747,0.28528893605482447,10.549436122940781,-0.014992987849622752,0.20843794921799494,0.9424424424424425,0.10246792097992952,0.08024328035310405,1.3427325313856115,3.6113735448690556
