regime,rows,group_internal_d3_delta,contribution_to_overall_mean_delta,abs_mean_b_control,abs_mean_b_arm,abs_mean_b_rose,signed_mean_b_control,signed_mean_b_arm
stop_hold,116,-0.007020998728717642,-0.00040762555181744157,0.34720144566321665,0.33290117164655775,False,0.3445334605894102,0.3288849442587917
departing,31,-0.00826419263725875,-0.00012822320908659814,0.2807518577832603,0.2626815967670431,False,0.21608749654775142,0.20595647095563463
constant,1402,-0.000494285658292487,-0.00034684108755061175,0.12218961998479771,0.11922606315077586,False,-0.008267611447303721,-0.005635259903996662
decelerating,241,-0.003469996953502169,-0.0004185531860830912,0.15440887749159413,0.15467244957536755,True,0.05248391370665872,0.04507793377355852
accelerating,208,-0.006205775224951471,-0.0006460466700650154,0.1726810098744599,0.1621981952306193,False,-0.07419209718821661,-0.06492712059930004
