group,rows,sessions,identity_residual,total_energy,common_component_energy_share,residual_component_energy_share,mean_abs_b_ms,signed_mean_b_ms,mean_total_chord_error_m,mean_abs_total_chord_error_m,rms_residual_ms,large_common_rows,large_common_sessions,large_residual_rows,large_residual_sessions,rows_in_both_tails
stop_hold,116,7,1.2434497875801753e-14,147.44113659403945,0.939326495410859,0.0606735045891409,0.34720144566321665,0.3445334605894102,1.0336003817682307,1.04160433698965,0.11337159477813753,12,2,12,5,4
departing,31,6,0.0,54.630080965545034,0.5056757343017848,0.4943242656982152,0.2807518577832603,0.21608749654775142,0.6482624896432543,0.8422555733497809,0.3810354783972976,4,2,4,2,2
constant,1402,11,2.842170943040401e-14,344.74151226558206,0.6259156885595595,0.37408431144044063,0.12218961998479771,-0.00826761144730372,-0.02480283434191116,0.36656885995439314,0.12381746456666509,141,11,141,11,40
decelerating,241,7,1.4210854715202004e-14,105.91780153100243,0.6005569661779172,0.3994430338220826,0.15440887749159413,0.05248391370665872,0.15745174111997615,0.46322663247478235,0.17105184314236113,25,5,25,3,7
accelerating,208,10,2.1316282072803006e-14,111.92743161677188,0.6257208281058876,0.3742791718941126,0.1726810098744599,-0.07419209718821661,-0.2225762915646498,0.5180430296233797,0.18321406322373007,21,7,21,5,8
all,1998,11,5.684341886080802e-14,764.6579629729408,0.6742159464272985,0.3257840535727014,0.1468562122303616,0.01616119597617005,0.04848358792851015,0.4405686366910848,0.14415348692379845,200,11,200,11,53
SUMMARY_ONLY_stop_or_depart,147,8,0.0,202.0712175595845,0.82208873895911,0.17791126104088992,0.3331882672667633,0.31744621647178156,0.9523386494153447,0.99956480180029,0.2018922534762334,15,2,15,4,6
SUMMARY_ONLY_accel_or_decel,449,11,1.4210854715202004e-14,217.8452331477743,0.6134859910386365,0.3865140089613634,0.16287347333933597,-0.006198959937292438,-0.018596879811877312,0.4886204200180079,0.17679006461814287,45,9,45,6,15
