regime,rows,control_d3,arm_d3,d3_delta,control_signed_b,arm_signed_b,control_abs_b,arm_abs_b
stop_hold,116,0.4309301773846028,0.4239091786558852,-0.007020998728717642,0.3445334605894102,0.3288849442587917,0.34720144566321665,0.33290117164655775
departing,31,0.5073934122415554,0.4991292196042967,-0.00826419263725875,0.21608749654775142,0.20595647095563463,0.2807518577832603,0.2626815967670431
constant,1402,0.1996339281722587,0.1991396425139662,-0.000494285658292487,-0.008267611447303721,-0.005635259903996662,0.12218961998479771,0.11922606315077586
decelerating,241,0.20854288528499923,0.20507288833149706,-0.003469996953502169,0.05248391370665872,0.04507793377355852,0.15440887749159413,0.15467244957536755
accelerating,208,0.26379416660598004,0.25758839138102857,-0.006205775224951471,-0.07419209718821661,-0.06492712059930004,0.1726810098744599,0.1621981952306193
