regime,rows,LEN_d3,LEN_contribution,LEN_signed_b,MR-LOWDETAIL_d3,MR-LOWDETAIL_contribution,MR-LOWDETAIL_signed_b,MR-NATIVE_d3,MR-NATIVE_contribution,MR-NATIVE_signed_b
stop_hold,116,0.4239091786558852,0.024611343705747087,0.3288849442587917,0.0904310325106074,0.0052502501357509805,0.08905759994715622,0.0799444602480873,0.004641420114503567,0.08363454161039628
departing,31,0.4991292196042967,0.007744247151017616,0.20595647095563463,0.33520463793914124,0.005200872760817507,0.1249561924537814,0.35430484630635933,0.005497222340088658,0.17323440551161798
constant,1402,0.1991396425139662,0.13973662602831863,-0.005635259903996662,0.18809786362380382,0.13198859099127774,0.009734560518687232,0.18706900595867426,0.1312666398168475,0.007497000090040318
decelerating,241,0.20507288833149706,0.024736019063008405,0.04507793377355852,0.20219878104435374,0.024389342458302928,0.007378958820682708,0.2058982136059747,0.02483557030982978,0.001980561297147519
accelerating,208,0.25758839138102857,0.02681600871233931,-0.06492712059930004,0.25872075279529044,0.0269338921828931,-0.050519140784937674,0.24639499714030125,0.025650730433024353,-0.04125219218119655
