v0_low_ms,v0_high_ms,rows,row_share,gt_total_chord_mean_m,signed_b_ms,mean_abs_b_ms,mean_total_chord_error_m,relative_total_chord_error_pct,mean_d3_m,share_of_total_d3
0.0,0.5,131,0.06556556556556556,0.5818991263879586,0.34954826380194265,0.3568221211272689,1.048644791405828,180.2107519760538,0.46794409540505083,0.1360025293265376
0.5,2.0,36,0.018018018018018018,4.550956183900407,0.018057492525212354,0.15574801386534645,0.05417247757563706,1.190353749554416,0.27023291417291945,0.02158352941006404
2.0,5.0,101,0.05055055055055055,10.854055006178678,-0.004665910979591731,0.21385960584739108,-0.013997732938775194,-0.1289631656630354,0.26113463403144355,0.058515048249754065
5.0,8.0,248,0.12412412412412413,19.879343928724033,-0.010829204664385516,0.14504815523749123,-0.03248761399315655,-0.16342397470277975,0.22572822890403432,0.12419933567837746
8.0,11.0,403,0.2017017017017017,28.888335545887237,0.027551589357494025,0.12982562641097403,0.08265476807248208,0.2861181390710114,0.2050722000167201,0.18335533658879807
11.0,14.0,733,0.36686686686686687,36.76797211034859,-0.009811645996726388,0.11956320148802906,-0.029434937990179162,-0.08005591905324173,0.18714176385424447,0.30433816037640854
14.0,,346,0.17317317317317318,52.95675625601902,-0.04307883513970417,0.12582881169250176,-0.1292365054191125,-0.24404158138825505,0.2240711443230493,0.1720060603700601
