t_s,weight,exp_mean_l2_m,exp_p90_l2_m,exp_p95_l2_m,exp_d3_contribution,exp_share_of_d3,r0_mean_l2_m,r0_d3_contribution,improvement_mean_l2_m,improvement_d3_contribution
0.5,0.3055555555555556,0.08682179485597108,0.17728886694403037,0.23708382785782198,0.026528881761546722,0.11759697382358264,0.11091060791473033,0.03388935241838983,-0.024088813058759248,-0.007360470656843104
1.0,0.3055555555555556,0.17597415956463502,0.3518588211998562,0.4858532184582737,0.05376988208919404,0.23835062002897683,0.20675980050820364,0.06317660571084001,-0.030785640943568615,-0.009406723621645966
1.5,0.1388888888888889,0.27082583630601775,0.5474269438625325,0.7466638420110648,0.037614699486946915,0.16673808080972524,0.3054084573759627,0.04241784130221705,-0.034582621069944974,-0.004803141815270136
2.0,0.1388888888888889,0.36855241653627074,0.7256109923838634,1.04844862329818,0.051187835630037606,0.22690494913346188,0.40676801656584466,0.05649555785636732,-0.038215600029573915,-0.005307722226329711
2.5,0.05555555555555555,0.46169817282633074,0.9093939513119349,1.2699531266706816,0.025649898490351708,0.11370062516994604,0.5090315050589004,0.0282795280588278,-0.047333332232569636,-0.002629629568476091
3.0,0.05555555555555555,0.5551260643252227,1.0971050892457022,1.5511009325464293,0.030840336906956815,0.13670875103430744,0.617136814612198,0.034285378589566554,-0.062010750286975336,-0.0034450416826097407
