step,PREFIX,control_same_step_PREFIX,delta_vs_matched_control,nonstop,depart,steady,first2s_contribution,long_abs,lat_abs
3426,0.3303111303632132,0.4045583326598944,-0.0742472022966812,0.3073994385632144,0.9122694599592877,0.6231638800065676,0.25135532068885463,0.23813085477281953,0.14625796163251867
6852,0.22331629709866974,0.23035659086311944,-0.007040293764449725,0.21620006829898955,0.5548852133159664,0.2777130143732676,0.1659470983885539,0.17219979411519126,0.09439845766510135
10278,0.2286344809490438,0.21383709896876735,0.014797381980276412,0.22270911022055812,0.587578380899442,0.25384070839450834,0.17917468853706175,0.18774017827133185,0.08377357115129926
13704,0.16884890717388853,0.18443586042321564,-0.015586953249327119,0.16303732312419383,0.46909209464462737,0.20613055963732116,0.12073035251641266,0.13572220195904927,0.06425344996015889
17130,0.15567453014386284,0.16270593083000012,-0.007031400686137299,0.15218808469501927,0.45502846716613615,0.14913504254837986,0.1129923320641741,0.12523511402431003,0.06153471368439127
20554,0.15411941110200755,0.15870725916855608,-0.004587848066548553,0.14835235997938648,0.4799786636504453,0.18434768174596772,0.1120510095775815,0.12049661470799612,0.06153962021541952
