step,arm,PREFIX,delta_ctrl,delta_parent,L2_1s,L2_2s,L2_3s,nonstop,depart,steady
0,P-CTRL-NEXT,0.15028550170145288,0.0,0.0,0.08525816725018938,0.14182503057216272,0.22377330728200656,0.15356898834019775,0.36820329309494565,0.03526969926619529
0,P-SPLITREAD,0.15028554767828753,4.597683464039002e-08,4.597683464039002e-08,0.0852582332634283,0.14182508179657743,0.22377332797485686,0.15356903744777567,0.36820328179780093,0.03526969983325135
0,P-LANE-GEOM,0.15028550170145288,0.0,0.0,0.08525816725018938,0.14182503057216272,0.22377330728200656,0.15356898834019775,0.36820329309494565,0.03526969926619529
3426,P-CTRL-NEXT,0.15657240470316058,0.0,0.006286903001707695,0.09411013102148667,0.14839314660875774,0.22721393647923735,0.1598874789715008,0.39595992330669977,0.03575356935343532
3426,P-SPLITREAD,0.15013202530671507,-0.0064403793964455044,-0.00015347639473780914,0.0855278646541789,0.14179027224777266,0.22307793901819373,0.15289237187034702,0.3902666749811295,0.039638273801706765
3426,P-LANE-GEOM,0.154208853078363,-0.0023635516247976296,0.003923351376910065,0.0886832812282953,0.14476722644026996,0.22917605156652357,0.15586775598086025,0.4340439090260515,0.0549514360588986
6852,P-CTRL-NEXT,0.14758207030393908,0.0,-0.002703431397513814,0.08292571877841885,0.13960744992004817,0.2202130422133502,0.15094735776053014,0.36739752388158714,0.03055697063755683
6852,P-SPLITREAD,0.14739373370951964,-0.00018833659441946135,-0.002891767991933276,0.08275785713430267,0.13951408872811596,0.21990925526614022,0.15075866886392644,0.3659068822340637,0.03069101674889421
6852,P-LANE-GEOM,0.147662130237983,8.00599340439357e-05,-0.002623371463469879,0.08304740763604206,0.1397467545439413,0.22019222853396567,0.15103459961076549,0.3659526056314471,0.0308707011126267
