step,arm,PREFIX,delta_control,delta_parent,L2_1s,L2_2s,L2_3s,nonstop,depart,steady
0,M-LOW,0.14739373370951964,0.0,0.0,0.08275785713430267,0.13951408872811596,0.21990925526614022,0.15075866886392644,0.3659068822340637,0.03069101674889421
0,M-NATIVE,0.14739373370951964,0.0,0.0,0.08275785713430267,0.13951408872811596,0.21990925526614022,0.15075866886392644,0.3659068822340637,0.03069101674889421
0,S-LOW,0.14739373370951964,0.0,0.0,0.08275785713430267,0.13951408872811596,0.21990925526614022,0.15075866886392644,0.3659068822340637,0.03069101674889421
0,S-NATIVE,0.14739373370951964,0.0,0.0,0.08275785713430267,0.13951408872811596,0.21990925526614022,0.15075866886392644,0.3659068822340637,0.03069101674889421
3426,M-LOW,0.14792704396470208,0.0,0.0005333102551824616,0.08404452115749896,0.1402600846413363,0.219476526095271,0.15008872491636005,0.4132168376268104,0.04267343959854718
3426,M-NATIVE,0.16405887799434302,0.01613183402964097,0.016665144284823435,0.09665295301520516,0.1580936772993459,0.23743000366847808,0.1692967208690312,0.3446825453958999,0.021069752664265733
3426,S-LOW,0.1517306711988441,0.0,0.004336937489324463,0.08848216087169083,0.14361430899671485,0.22309554372812654,0.1534126711263416,0.4351642825687725,0.05116343345201479
3426,S-NATIVE,0.1535892882996266,0.0018586171007825148,0.006195554590106978,0.09188038444605896,0.14617463466274086,0.22271284579008,0.1574451248065158,0.3746676228347103,0.02696733396367455
6852,M-LOW,0.14567981112764478,0.0,-0.0017139225818748505,0.08204417622871275,0.13817909588298105,0.21681616127124054,0.1497771217339087,0.33655675789381684,0.021806032247513076
6852,M-NATIVE,0.14609815785863686,0.0004183467309920904,-0.0012955758508827605,0.08209298538840962,0.13861743813114102,0.21758405005635995,0.1502325897301309,0.3403039931180733,0.020714321441689068
6852,S-LOW,0.14702149553034327,0.0,-0.00037223817917634455,0.0831988703396583,0.13957842309795085,0.21828719315342063,0.15086756887811892,0.35216023375071837,0.024448594072076574
6852,S-NATIVE,0.145376961177249,-0.0016445343530942765,-0.002016772532270621,0.08233090399756128,0.13783720707849131,0.2159627724556944,0.14940476943713693,0.34543324190855634,0.020594221532387946
