step,arm,PREFIX,delta_ctrl,delta_parent,L2_1s,L2_2s,L2_3s,nonstop,depart,steady
0,P-CTRL,0.15117885989032362,0.0,0.0,0.08633403338147831,0.14241700452083375,0.22478554176865875,0.1548905077577,0.35855651689498,0.030609127370702812
0,P-VECTOR,0.15117885989032362,0.0,0.0,0.08633403338147831,0.14241700452083375,0.22478554176865875,0.1548905077577,0.35855651689498,0.030609127370702812
0,P-FINE,0.15117885989032362,0.0,0.0,0.08633403338147831,0.14241700452083375,0.22478554176865875,0.1548905077577,0.35855651689498,0.030609127370702812
0,P-SHARED768,13.144899210459375,12.993720350569053,12.993720350569053,7.883534199450885,13.145061947501572,18.406101484425662,13.999998481665008,0.5001332540894914,0.015235063412075867
1142,P-CTRL,0.15227924247840574,0.0,0.001100382588082136,0.08654439631552881,0.14301366247996242,0.22727966863972604,0.15609661147365353,0.35513477757185347,0.030803487848785907
1142,P-VECTOR,0.1515202832408268,-0.0007589592375789653,0.0003414233505031707,0.08526864323604849,0.14262113190598844,0.22667107458044342,0.15585250034760859,0.3303676724243601,0.02611377399213294
1142,P-FINE,0.1582299149945129,0.005950672516107129,0.0070510551041892645,0.09274325701443986,0.14976854802690598,0.2321779399421928,0.16128886987571653,0.40791711161660377,0.03976493397242112
1142,P-SHARED768,0.27481572484617317,0.12253648236776746,0.12363686495584959,0.18802228332341722,0.26368152634892794,0.37274336486617443,0.28020189765873027,0.4445219816514762,0.1316639653828227
2284,P-CTRL,0.15134420384083908,0.0,0.00016534395051547355,0.08540893794210755,0.14226423261652815,0.2263594409638816,0.155114381843093,0.3511899997177204,0.03149185176739188
2284,P-VECTOR,0.14992967825897696,-0.001414525581862131,-0.0012491816313466575,0.08391756222202272,0.1409090061363246,0.22496246641858353,0.15340953409091557,0.36027789190413834,0.03302981146737351
2284,P-FINE,0.15031532785418492,-0.0010288759866541636,-0.0008635320361386901,0.0842658717046822,0.14120500189351126,0.2254751099643613,0.15372454088391235,0.3631141150839974,0.03415931447787778
2284,P-SHARED768,0.25512918670057794,0.10378498285973885,0.10395032681025432,0.17615398600112872,0.24808025899653222,0.3411533151040729,0.2646258007417299,0.3494824871459808,0.052395544904117644
3426,P-CTRL,0.15028550170145288,0.0,-0.0008933581888707228,0.08525816725018938,0.14182503057216272,0.22377330728200656,0.15356898834019775,0.36820329309494565,0.03526969926619529
3426,P-VECTOR,0.150329892161485,4.439046003213034e-05,-0.0008489677288385926,0.08537459873850896,0.14202428113913876,0.22359079660680736,0.15354471666495562,0.3723878161365586,0.03561084045028164
3426,P-FINE,0.15037004257991185,8.4540878458963e-05,-0.0008088173104117598,0.08522630278003579,0.14193604049313135,0.22394778446656843,0.1535292499060606,0.37283181000927623,0.03660644505634003
3426,P-SHARED768,0.24250397617056957,0.09221847446911667,0.09132511628024596,0.1676981305212391,0.23592578824387964,0.32388800974659,0.2510958142051568,0.3663404241570829,0.049758813882414245
