run,train_rows,train_scenes,exposures_of_own_train,train_probe_terminal,v0_b4_terminal,v0_b4_best,best_step,best_is_terminal,v0_b1_terminal,vx_mae_terminal,occ_iou_terminal,lane_iou_terminal
R0,54810,203,,0.1082413208610053,0.2585442639362085,0.2585442639362085,6850,True,0.2585442607872913,0.9995741687707596,0.4338053779875754,0.42373445571454627
E1-T203,54810,203,6.0,0.07353783851736762,0.26792004432956185,0.26757183941444745,13704,False,0.26792005719318335,1.0955683673182885,0.45740350043086797,0.4775578201273223
E1-EXP,83700,310,3.929,0.0858507263082883,0.22559153860214878,0.22559153860214878,20554,True,0.2255915608831835,0.8725151583851615,0.457907294805833,0.4790912091738224
