run,step,v0_b4_official_d3,train_probe_d3,vx_mae,occ_iou,lane_iou
R0,0,0.2585442639362085,0.1082413208610053,0.9995741687707596,0.4338053779875754,0.42373445571454627
E1-T203,3426,0.27454084919968824,0.1446651777832479,1.0127640506056872,0.4339156187685099,0.45177307403459066
E1-T203,6852,0.28475224025719037,0.1240221456715172,1.0806587113252095,0.4496844950604535,0.46123636428439363
E1-T203,10278,0.2765014631560891,0.12559373284655348,1.0500711949189772,0.45414816235596145,0.472236135220622
E1-T203,13704,0.26757183941444745,0.11641274216865585,1.0894915692478389,0.4561823696659959,0.4764413506355386
E1-T203,17130,0.27001458242744414,0.0887909984944123,1.0942188911885768,0.4585765650807659,0.47376403537856315
E1-T203,20554,0.26792004432956185,0.07353783851736762,1.0955683673182885,0.45740350043086797,0.4775578201273223
E1-EXP,3426,0.28244969281680266,0.19183311786749166,0.88055448432838,0.42136444079941293,0.43503746901030965
E1-EXP,6852,0.27197580553732953,0.19043223970455617,0.8333409435005166,0.4362920844770601,0.45840633848974643
E1-EXP,10278,0.23638382679395922,0.11719062988619298,0.8395688295214286,0.45450036607543515,0.4756874024086006
E1-EXP,13704,0.23104060400609258,0.09880072605551146,0.876265947738228,0.46540392168756917,0.4754163459715111
E1-EXP,17130,0.2298779425871287,0.09019126854163427,0.8971480547946442,0.4575977959800335,0.4793696014891661
E1-EXP,20554,0.22559153860214878,0.0858507263082883,0.8725151583851615,0.457907294805833,0.4790912091738224
