run,step,v0_official_d3,vx_mae
E1-EXP,3426,0.28244969281680266,0.88055448432838
E1-EXP,6852,0.27197580553732953,0.8333409435005166
E1-EXP,10278,0.23638382679395922,0.8395688295214286
E1-EXP,13704,0.23104060400609258,0.876265947738228
E1-EXP,17130,0.2298779425871287,0.8971480547946442
E1-EXP,20554,0.22559153860214878,0.8725151583851615
E1-EXP-LONG-s0,3426,0.23634486727498555,0.8493939037816981
E1-EXP-LONG-s0,6852,0.2482655034559006,0.8545405882307224
E1-EXP-LONG-s0,10278,0.23512196439589644,0.8629938041133148
E1-EXP-LONG-s0,13704,0.23351119620141922,0.8406138414369283
E1-EXP-LONG-s0,17130,0.22953925470824357,0.8884940777261563
E1-EXP-LONG-s0,20556,0.23098124189719976,0.8837549824909017
E1-EXP-LONG-s0,23982,0.2263548915196132,0.8772785345309632
E1-EXP-LONG-s0,27408,0.23232966121957377,0.895385344821337
E1-EXP-LONG-s0,30834,0.2288592365422138,0.8873936680678811
E1-EXP-LONG-s0,31388,0.22894065366900368,0.8875042753302501
