step,PREFIX,delta_vs_parent,nonstop,depart,steady,first2s_contribution,long_abs,lat_abs
0,0.1587072618732656,0.0,0.1552740431621174,0.47364173153949046,0.1473825387157284,0.11414141490877822,0.11944876710400607,0.07134294775948478
1142,0.16111266185684173,0.0024054026882856377,0.15697615031764944,0.4708196037301602,0.16437521267528524,0.11559049131833277,0.12084321770291002,0.07253161845776153
2284,0.18586950555707624,0.027162246388520123,0.18302689352404825,0.4882639354909517,0.16639911407742355,0.13637806110093575,0.14248398948163354,0.08374381284475925
3426,0.16353805185856057,0.004830792690004478,0.15881993304007014,0.4951044257202765,0.1725166358180392,0.11837366643030126,0.1255372379413362,0.06937720373069443
4568,0.163295628982372,0.004588369813815888,0.16147823000585748,0.45213159129087016,0.12769522479611692,0.11707410666508068,0.12743688291495198,0.07094760181875714
5710,0.15368406029504603,-0.005023198873510061,0.1516343598731255,0.4412059971622581,0.1228018563181564,0.11032431670446587,0.11778085633507834,0.06838442936240345
6852,0.156334058774469,-0.0023732003940870965,0.15320499212751712,0.46358475290281187,0.14111166790532306,0.11261141557195842,0.1185080199330278,0.06944493494737089
