run,PREFIX,L2_1s,L2_2s,L2_3s,nonstop_PREFIX,nonstop_contribution,first2s_PREFIX_contribution
PARENT,0.16425176679687356,0.09604649863001233,0.1636846045296696,0.23302419723093878,0.16844511321878103,0.15807536901161884,0.12295139094870944
CONTROL,0.1650840651964101,0.0963413054460424,0.1643324446471303,0.2345784454960577,0.16871951376274416,0.15833287702960225,0.12340957106375317
VIS-1142,0.16969548421373476,0.1012505026639302,0.16887719000149576,0.23895875997577826,0.17277751600628788,0.1621410623182131,0.12757082866658548
VIS-2284,0.16587603044131674,0.09607197476455624,0.16476784302316694,0.23678827353622706,0.17121508258239398,0.1606748147357301,0.1235616821566115
VIS-TERMINAL,0.16613715835923365,0.09688942033387438,0.16547462305712335,0.23604743168670322,0.17001373860750693,0.15954742737190966,0.1242268195874711
